AF|1950|8150368
AF|1951|8284473
AF|1952|8425333
AF|1953|8573217
AF|1954|8728408
AF|1955|8891209
AF|1956|9061938
AF|1957|9240934
AF|1958|9428556
AF|1959|9624606
AF|1960|9829450
AF|1961|10043473
AF|1962|10267083
AF|1963|10500711
AF|1964|10744167
AF|1965|10997885
AF|1966|11262324
AF|1967|11537966
AF|1968|11825320
AF|1969|12122740
AF|1970|12430623
AF|1971|12749385
AF|1972|13079460
AF|1973|13421301
AF|1974|13772076
AF|1975|14132019
AF|1976|14501369
AF|1977|14880372
AF|1978|15269281
AF|1979|15555612
AF|1980|15044289
AF|1981|13676225
AF|1982|12582762
AF|1983|12439282
AF|1984|12768664
AF|1985|13119943
AF|1986|13125920
AF|1987|13056450
AF|1988|13168732
AF|1989|13502720
AF|1990|13568282
AF|1991|13671918
AF|1992|15023317
AF|1993|17003437
AF|1994|18486041
AF|1995|19445013
AF|1996|20110508
AF|1997|20769357
AF|1998|21451549
AF|1999|22205667
AF|2000|22461349
AF|2001|22507460
AF|2002|23600088
AF|2003|25005388
AF|2004|25697635
AF|2005|26334702
AF|2006|27154386
AF|2007|27387083
AF|2008|27705724
AF|2009|28483631
AF|2010|29120727
AF|2011|29757566
AF|2012|30419928
AF|2013|31108077
AF|2014|31822848
AF|2015|32564342
AF|2016|33332025
AF|2017|34124811
AF|2018|34940837
AF|2019|35780458
AF|2020|36643815
AF|2021|37524713
AF|2022|38415100
AF|2023|39311066
AF|2024|40211878
AF|2025|41117073
AF|2026|42025073
AF|2027|42935003
AF|2028|43845862
AF|2029|44756202
AF|2030|45664663
AF|2031|46570361
AF|2032|47475646
AF|2033|48382699
AF|2034|49289727
AF|2035|50194749
AF|2036|51097396
AF|2037|52000306
AF|2038|52905667
AF|2039|53811781
AF|2040|54716673
AF|2041|55619723
AF|2042|56524253
AF|2043|57432905
AF|2044|58343854
AF|2045|59255165
AF|2046|60165568
AF|2047|61075545
AF|2048|61985148
AF|2049|62892446
AF|2050|63795418
AG|1950|8892718
AG|1951|9073304
AG|1952|9279525
AG|1953|9531710
AG|1954|9611093
AG|1955|9841851
AG|1956|10057133
AG|1957|10270856
AG|1958|10484925
AG|1959|10696396
